language_initial,eng_vil_name,Lat,Lon,Family
Aghul агульский собственно,Bedyuk,41.716044000000004,47.525715000000005,Lezgic
Aghul агульский собственно,Burkikhan,41.806356,47.538467,Lezgic
Aghul агульский собственно,Goa,41.753585,47.703213,Lezgic
Aghul агульский собственно,Duldug,41.76833,47.67438,Lezgic
Aghul агульский собственно,Kvardal,41.6803,47.56277,Lezgic
Aghul агульский собственно,Kurag,41.836764,47.661351,Lezgic
Aghul агульский собственно,Misi,41.809909999999995,47.60329,Lezgic
Aghul агульский собственно,Richa,41.763646,47.502769,Lezgic
Aghul агульский собственно,Tpig,41.780423,47.589523,Lezgic
Aghul агульский собственно,Ukuz,41.696017,47.591355,Lezgic
Aghul агульский собственно,Usug,41.672481,47.594623999999996,Lezgic
Aghul агульский собственно,Fite,41.79161,47.739979999999996,Lezgic
Aghul агульский собственно,Khveredzh,41.702059999999996,47.572179999999996,Lezgic
Aghul агульский собственно,Khpyuk,41.66667,47.66667,Lezgic
Aghul агульский собственно,Khutkhul,41.78517,47.614509999999996,Lezgic
Aghul агульский собственно,Tsirkhe,41.91513,47.596790000000006,Lezgic
Aghul агульский собственно,Yarkug,41.798140000000004,47.68435,Lezgic
Aghul кошанский,Arsug,41.86408,47.65011,Lezgic
Aghul кошанский,Burshag,41.89626,47.641020000000005,Lezgic
Aghul кошанский,Khudig,41.85373,47.65854,Lezgic
Akhvakh сев.-ахвах.,Izano,42.52735,46.403890000000004,Andic
Akhvakh сев.-ахвах.,Kvankero,42.552440000000004,46.3404,Andic
Akhvakh сев.-ахвах.,Kudiyabroso,42.541069,46.377932,Andic
Akhvakh сев.-ахвах.,Tad-Magitl',42.550266,46.348953,Andic
Akhvakh южно-ахвахский,Ratlub,42.359268,46.433433,Andic
Akhvakh южно-ахвахский,Tlyanub,42.43568,46.45745,Andic
Akhvakh южно-ахвахский,Tsekob,42.422785,46.450219,Andic
Andi верхне-андийски,Ashali,42.76963,46.30878,Andic
Andi верхне-андийски,Gagatli,42.800360999999995,46.292645,Andic
Andi верхне-андийски,Zilo,42.731394,46.319223,Andic
Andi верхне-андийски,Rikvani,42.782303999999996,46.319371999999994,Andic
Andi верхне-андийски,Khando,42.72694,46.23361,Andic
Andi верхне-андийски,Tsibilta,42.74322,46.243109999999994,Andic
Andi верхне-андийски,Chanko,42.717936,46.246417,Andic
Andi нижне-андийский,Kvankhidatli,42.65789,46.271741999999996,Andic
Andi нижне-андийский,Muni,42.680242,46.308873999999996,Andic
Andi нижне-андийский,Rushukha,42.715090000000004,46.28112,Andic
Archi верхне-андийски,Archib,42.0664,46.8678,Lezgic
Archi верхне-андийски,Kalib,42.07054,46.86002,Lezgic
Archi верхне-андийски,Keserib,42.0647,46.888000000000005,Lezgic
Archi верхне-андийски,Kubatl',42.036590000000004,46.85973,Lezgic
Archi верхне-андийски,Khilikh,42.05838,46.88751,Lezgic
Archi верхне-андийски,Khitab,42.075379999999996,46.867234,Lezgic
Avar ,Agada,42.412001000000004,46.841895,Avar
Avar ,Aymaki,42.5342,47.1383,Avar
Avar ,Akaytala,43.03176,46.92583,Avar
Avar ,Akushali,42.4992,46.9504,Avar
Avar ,Alak,42.6092,46.1972,Avar
Avar ,Amishta,42.629670000000004,46.552971,Avar
Avar ,Amushi Bol'shoe,42.63752,46.4864,Avar
Avar ,Amushi Maloe,42.650445,46.487815000000005,Avar
Avar ,Anada,42.17306,46.369170000000004,Avar
Avar ,Andykh,42.5119,46.5939,Avar
Avar ,Ansalta,42.6939,46.1147,Avar
Avar ,Arakani,42.610078,46.991710999999995,Avar
Avar ,Argvani,42.8128,46.5792,Avar
Avar ,Arkas,42.65194,47.138329999999996,Avar
Avar ,Assab,42.471596000000005,46.492475,Avar
Avar ,Akhalchi,42.594957,46.631744,Avar
Avar ,Akhkent,42.57353,47.18488,Avar
Avar ,Ashil'ta,42.772446,46.728853,Avar
Avar ,Baginub,42.1743,46.88159,Avar
Avar ,Baitl',42.546452,46.676472,Avar
Avar ,Balanub,42.4284,46.8251,Avar
Avar ,Balakhani,42.63128,46.895140000000005,Avar
Avar ,Barnab,42.079640000000005,46.37894,Avar
Avar ,Batlaich,42.554821000000004,46.754217,Avar
Avar ,Batsada,42.3036,46.9092,Avar
Avar ,Bezhuda,42.200348,46.479175,Avar
Avar ,Betli,42.72372,46.73388,Avar
Avar ,Bol'shoy Urala,42.424277000000004,46.805844,Avar
Avar ,Bochokh,42.22,46.28472,Avar
Avar ,Bukhty,42.240712,46.985633,Avar
Avar ,Butsra,42.58902,46.7677,Avar
Avar ,Verkhnee Inkho,42.706590000000006,46.50415,Avar
Avar ,Verkhnie Akhalchi,42.599109999999996,46.63581,Avar
Avar ,Verkhniy Aradirikh,42.67099,46.60372,Avar
Avar ,Verkhniy Batlukh,42.496276,46.502217,Avar
Avar ,Verkhniy Dzhengutay,42.67476,47.23415,Avar
Avar ,Verkhniy Karanay,42.8281,46.9072,Avar
Avar ,Verkhniy Kolob,42.426140000000004,46.6579,Avar
Avar ,Gagar,41.999252,46.592744,Avar
Avar ,Gadari,42.807303000000005,46.621237,Avar
Avar ,Gamsutl',42.301972,46.996315,Avar
Avar ,Garakolob,42.048887,46.455015,Avar
Avar ,Gatsalukh,42.59298,46.64949,Avar
Avar ,Gvedysh,42.135909999999996,46.41437,Avar
Avar ,Gebguda,42.190026,46.354817,Avar
Avar ,Gebguda,42.190026,46.354817,Avar
Avar ,Gendukh,42.13476,46.403084,Avar
Avar ,Genekolob,41.916992,46.600198999999996,Avar
Avar ,Genichutl',42.56455,46.73959,Avar
Avar ,Genta,42.37001,46.560990000000004,Avar
Avar ,Gergebil',42.5047,47.0661,Avar
Avar ,Gidatli,42.266327000000004,46.374506,Avar
Avar ,Gidib,42.229420000000005,46.80621,Avar
Avar ,Gilib,42.1169,46.7761,Avar
Avar ,Gimry,42.757219,46.838739000000004,Avar
Avar ,Gindib,42.11296,46.50397,Avar
Avar ,Goab,42.097184999999996,46.738407,Avar
Avar ,Gogotl',42.454809999999995,46.76547,Avar
Avar ,Golotl',42.485962,46.735698,Avar
Avar ,Gonoda,42.4697,46.7892,Avar
Avar ,Gonokh,42.56163,46.6896,Avar
Avar ,Gontlob,42.280673,46.726468,Avar
Avar ,Goor,42.43339,46.56927,Avar
Avar ,Goor-Khindakh,42.449273,46.575312,Avar
Avar ,Gortkolo,42.576655,46.63945,Avar
Avar ,Gortnob,41.962665,46.525604,Avar
Avar ,Gotsatl' Bol'shoy,42.51862,46.88262,Avar
Avar ,Gotsatl' Malyy,42.5041,46.888290000000005,Avar
Avar ,Gotsob,42.58963,46.869009999999996,Avar
Avar ,Gochada,42.272626,46.765271999999996,Avar
Avar ,Gochob,42.2375,46.6642,Avar
Avar ,Gunib,42.388232,46.962258,Avar
Avar ,Gunukh,42.280429999999996,46.76307,Avar
Avar ,Dagbash,42.380347,46.351960999999996,Avar
Avar ,Dadulazda,42.4189,46.80373,Avar
Avar ,Darada,42.465606,46.936572999999996,Avar
Avar ,Datuna,42.47357,46.643640000000005,Avar
Avar ,Dzhalaturi,42.631847,46.567028,Avar
Avar ,Doronub,42.124689000000004,46.809427,Avar
Avar ,Durangi,42.635709999999996,47.223659999999995,Avar
Avar ,Dusrakh,42.1275,46.8792,Avar
Avar ,Zhazhada,42.197157000000004,46.424903,Avar
Avar ,Zaib,42.489364,46.707471999999996,Avar
Avar ,Zanata,42.485146,46.552771,Avar
Avar ,Zirani,42.61797,46.944359999999996,Avar
Avar ,Ziurib,42.41789,46.705088,Avar
Avar ,Ivaylazda,42.42,46.799170000000004,Avar
Avar ,Igali,42.7181,46.5811,Avar
Avar ,Izta,42.308890000000005,46.35667,Avar
Avar ,Ingerdakh,42.589259999999996,46.398373,Avar
Avar ,Ingishi,42.774770000000004,46.542640000000006,Avar
Avar ,Inkvalita,42.69936,46.68833,Avar
Avar ,Iputa,42.47852,46.965920000000004,Avar
Avar ,Irganay,42.649543,46.912048,Avar
Avar ,Irib,42.1606,46.8169,Avar
Avar ,Ichichali,42.732617,46.405263,Avar
Avar ,Ishtiburi,42.679149,46.702701,Avar
Avar ,Kabasida,42.205771,46.341334,Avar
Avar ,Kamilukh,41.90911,46.631009999999996,Avar
Avar ,Karadakh,42.471022999999995,46.863724,Avar
Avar ,Karanub,42.12262,46.81777,Avar
Avar ,Kardib,42.111443,46.514655,Avar
Avar ,Katroso,42.188328999999996,46.33021,Avar
Avar ,Kakh,42.557664,46.790848,Avar
Avar ,Kakhabroso,42.73896,46.704696999999996,Avar
Avar ,Kakhib,42.4272,46.5969,Avar
Avar ,Kakhikal,42.499065,46.874809,Avar
Avar ,Kversatl',42.302562,46.392793,Avar
Avar ,Keger,42.3767,47.0275,Avar
Avar ,Kedi,42.526109999999996,45.966390000000004,Avar
Avar ,Kizhani,42.74031,46.364775,Avar
Avar ,Kikuni,42.513979,47.036122,Avar
Avar ,Kilyatl',42.704637,46.466046,Avar
Avar ,Kishdatl',42.304638,46.342239,Avar
Avar ,Kienikh,42.43056,46.66639,Avar
Avar ,Kolo,42.65769,46.56607,Avar
Avar ,Kolo,42.65769,46.56607,Avar
Avar ,Koroda,42.44961,46.846988,Avar
Avar ,Kosob,42.242893,46.368239,Avar
Avar ,Kosroda,42.131409999999995,46.858290000000004,Avar
Avar ,Kuanib,42.509735,46.611385,Avar
Avar ,Kudali,42.3678,47.0789,Avar
Avar ,Kudutl',42.5783,47.0194,Avar
Avar ,Kuker,42.431059999999995,46.80982,Avar
Avar ,Kuletsma,42.5556,47.2339,Avar
Avar ,Kulla,42.31346,46.910140000000006,Avar
Avar ,Kunzakh,42.74884,46.66488,Avar
Avar ,Kusur,41.781293,46.949207,Avar
Avar ,Kutikh,42.12587,46.78902,Avar
Avar ,Kutisha,42.4236,47.2831,Avar
Avar ,Kutlab,42.09663,46.32982,Avar
Avar ,Kuchrab,42.175059999999995,46.902440000000006,Avar
Avar ,Lakhchayda,42.41345,46.8378,Avar
Avar ,Magar,42.19546,46.843669,Avar
Avar ,Magitl',42.248081,46.366738,Avar
Avar ,Mazada,42.197896,46.390091999999996,Avar
Avar ,Manasaul,42.7575,47.0397,Avar
Avar ,Machada,42.37839,46.53725,Avar
Avar ,Machar,42.206556,46.335204,Avar
Avar ,Mesterukh,42.5747,46.3964,Avar
Avar ,Metrada,42.393034,45.888954,Avar
Avar ,Mekhel'ta,42.798277,46.497361,Avar
Avar ,Mitliurib,42.43537,46.688359999999996,Avar
Avar ,Mogrob,42.15672,46.86521,Avar
Avar ,Mokoda,42.42385,46.66963,Avar
Avar ,Moksob,43.434003999999995,46.48603,Avar
Avar ,Moksokh,42.6538,46.80572,Avar
Avar ,Mochokh,42.63159,46.61242,Avar
Avar ,Moschob,42.21389,46.79167,Avar
Avar ,Mugdab,42.420445,46.807522999999996,Avar
Avar ,Mugurukh,42.26064,46.86533,Avar
Avar ,Mukutl',42.19562,46.861381,Avar
Avar ,Murada,42.445422,46.954469,Avar
Avar ,Murukh,42.277190000000004,46.7715,Avar
Avar ,Musrukh,42.32897,46.51614,Avar
Avar ,Muschuli,42.633706,46.498593,Avar
Avar ,Nadar,42.097359999999995,46.36025,Avar
Avar ,Nakazukh,42.264594,46.914238,Avar
Avar ,Nizhnee Inkho,42.704518,46.507752,Avar
Avar ,Nizhnie Chugli,42.46318,47.29733,Avar
Avar ,Nizhnie Khvarshini,42.4108,45.8697,Avar
Avar ,Nizhniy Aradirikh,42.68979,46.568219,Avar
Avar ,Nizhniy Batlukh,42.4853,46.5239,Avar
Avar ,Nizhniy Karanay,42.84729,46.940488,Avar
Avar ,Nizhniy Kolob,42.430087,46.659303,Avar
Avar ,Nizhniy Chiryurt,43.172990000000006,46.863279999999996,Avar
Avar ,Nikar,42.0737,46.406903,Avar
Avar ,Niklida,42.199940999999995,46.406484999999996,Avar
Avar ,Nitab,42.51925,46.63256,Avar
Avar ,Nitilsukh,42.04732,46.42938,Avar
Avar ,Noyrukh,42.193895,46.38005,Avar
Avar ,Nukush,42.1492,46.80579,Avar
Avar ,Nukhotkolob,42.23195,46.265721,Avar
Avar ,Oboda,42.578542,46.668203000000005,Avar
Avar ,Obokh,42.28362,47.03734,Avar
Avar ,Orada-Chugli,42.493840000000006,47.222640000000006,Avar
Avar ,Orkachi,42.6058,46.81797,Avar
Avar ,Orota,42.65915,46.53772,Avar
Avar ,Ortakolo,42.67057,46.38882,Avar
Avar ,Okhli,42.55565,47.209281,Avar
Avar ,Ochlo,42.642518,46.64532,Avar
Avar ,Ravkvatl',42.372455,46.579617,Avar
Avar ,Rakhata,42.6911,46.1414,Avar
Avar ,Ritlyab,42.05087,46.71917,Avar
Avar ,Rosnob,42.055,46.41194,Avar
Avar ,Rosta,42.200559999999996,46.39667,Avar
Avar ,Rosutl',42.41533,46.8308,Avar
Avar ,Rugel'da,42.3175,46.5244,Avar
Avar ,Rugudzha,42.3606,46.9139,Avar
Avar ,Rul'dab,42.18472,46.85028,Avar
Avar ,Sabda,42.311355,46.371346,Avar
Avar ,Salda,41.97497,46.50848,Avar
Avar ,Salta,42.39589,47.070479999999996,Avar
Avar ,Saniorta,42.03195,46.44246,Avar
Avar ,Sasitli,42.496173,45.996762,Avar
Avar ,Sachada,42.258410999999995,46.699595,Avar
Avar ,Sekh,42.416094,46.826446999999995,Avar
Avar ,Sikar,42.07966,46.41127,Avar
Avar ,Silta,42.38728,47.07127,Avar
Avar ,Sil'di,42.4552,45.92715,Avar
Avar ,Sinida,42.20341,46.39071,Avar
Avar ,Sogratl',42.2808,46.9914,Avar
Avar ,Sodab,42.215081,46.81015,Avar
Avar ,Somoda,42.30272,46.5368,Avar
Avar ,Sredniy Aradirikh,42.68121,46.580220000000004,Avar
Avar ,Sumeta,42.262025,46.705541,Avar
Avar ,Tagada,42.497572999999996,46.868389,Avar
Avar ,Tadiyal,42.11099,46.4823,Avar
Avar ,Talsukh,42.04741,46.40589,Avar
Avar ,Talukh,42.25652,46.74433,Avar
Avar ,Tamuda,42.21001,46.382,Avar
Avar ,Tando,42.707696,46.175693,Avar
Avar ,Tanusi,42.58233,46.69233,Avar
Avar ,Tasuta,42.71731,46.22568,Avar
Avar ,Teletl',42.4289,46.7317,Avar
Avar ,Tidib,42.3889,46.5742,Avar
Avar ,Tilanib,42.310964,46.366528,Avar
Avar ,Tilutl',42.109079,46.350054,Avar
Avar ,Tinchuda,42.198609999999995,46.45306,Avar
Avar ,Tlaylukh,42.6208,46.52428,Avar
Avar ,Tlobzoda,42.17944,46.371109999999994,Avar
Avar ,Tlogob,42.4189,46.8153,Avar
Avar ,Tlokh,42.6492,46.4578,Avar
Avar ,Tlyanada,42.02864,46.51038,Avar
Avar ,Tlyarosh,42.275317,46.751805,Avar
Avar ,Tlyakh,42.389928000000005,46.540021,Avar
Avar ,Tokh,42.222291999999996,46.291546000000004,Avar
Avar ,Tokhota,42.0178,46.4639,Avar
Avar ,Tumagari,42.58165,46.60662,Avar
Avar ,Tunzi,42.46888,46.97573,Avar
Avar ,Uzdalroso,42.48612,46.85577,Avar
Avar ,Ukal,42.121629999999996,46.34771,Avar
Avar ,Ul'geb,41.964253,46.523688,Avar
Avar ,Unkida,42.328697999999996,46.885731,Avar
Avar ,Unty,42.311452,46.944631,Avar
Avar ,Untsukul',42.7131,46.7875,Avar
Avar ,Urada,42.3822,46.5617,Avar
Avar ,Urib,42.4564,46.6736,Avar
Avar ,Urma,42.5383,47.2869,Avar
Avar ,Urukh-Sota,42.24222,46.67694,Avar
Avar ,Urchiab,42.657739,47.016338,Avar
Avar ,Urchukh,42.325548,46.495518,Avar
Avar ,Utlukh,42.267533,46.730055,Avar
Avar ,Khadakolob,42.231683000000004,46.261819,Avar
Avar ,Khadiyal,42.0989,46.4653,Avar
Avar ,Khamagib,42.402538,46.850421999999995,Avar
Avar ,Khamakal,42.428109,46.674496999999995,Avar
Avar ,Khamar,42.095867999999996,46.383695,Avar
Avar ,Khantakolob,42.219440000000006,46.29083,Avar
Avar ,Kharada,42.222648,46.258528000000005,Avar
Avar ,Kharakhi,42.6433,46.5211,Avar
Avar ,Kharachi,42.677440000000004,46.82263,Avar
Avar ,Kharikolo,42.5451,46.80847,Avar
Avar ,Khakhita,42.4667,47.2642,Avar
Avar ,Khatsunob,42.425999,46.802058,Avar
Avar ,Khvarada,42.46889,46.99406,Avar
Avar ,Khvartikuni,42.4569,47.0067,Avar
Avar ,Khebdib,42.43,46.86,Avar
Avar ,Kheleturi,42.612495,46.225441,Avar
Avar ,Khidib,42.17812,46.36299,Avar
Avar ,Khimakoro,42.590092,46.617523,Avar
Avar ,Khini,42.52767,46.70496,Avar
Avar ,Khintida,42.220546999999996,46.275395,Avar
Avar ,Khinub,42.17454,46.824059999999996,Avar
Avar ,Khobokh,42.204624,46.379234000000004,Avar
Avar ,Khopor,42.352716,46.937396,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khorta,42.193290000000005,46.359759999999994,Avar
Avar ,Khotlob,42.201243,46.432755,Avar
Avar ,Khotoda,42.39393,46.559446,Avar
Avar ,Khotoch,42.408408,46.954024,Avar
Avar ,Khunzakh,42.5394,46.705,Avar
Avar ,Khurukh,42.18441,46.85807,Avar
Avar ,Khuchada,42.400234999999995,46.469178,Avar
Avar ,Tsada,42.56694,46.7125,Avar
Avar ,Tsalada,42.42472,46.81472,Avar
Avar ,Tsalkita,42.617979999999996,46.57339,Avar
Avar ,Tsanatl',42.72244,46.62252,Avar
Avar ,Tsatanikh,42.667792999999996,46.723937,Avar
Avar ,Tsel'mes,42.623464,46.538548999999996,Avar
Avar ,Tsemer,42.15195,46.752959999999995,Avar
Avar ,Tseneb,42.206684,46.842652,Avar
Avar ,Tsilitl',42.8125,46.4156,Avar
Avar ,Tsimguda,42.01269,46.5665,Avar
Avar ,Tsoloda,42.63827,46.36626,Avar
Avar ,Tsulda,42.27357,46.72095,Avar
Avar ,Tsumilukh,42.059740000000005,46.412420000000004,Avar
Avar ,Tsundi,42.740996,46.436577,Avar
Avar ,Chadakolob,42.19182,46.31981,Avar
Avar ,Chalda,42.538206,46.920351000000004,Avar
Avar ,Chanab,42.125345,46.904340000000005,Avar
Avar ,Charoda,42.2764,46.8019,Avar
Avar ,Chvadab,42.13028,46.87639,Avar
Avar ,Chirkata,42.783992,46.716609000000005,Avar
Avar ,Chitab,42.10412,46.86914,Avar
Avar ,Chitl',42.722594,46.504009,Avar
Avar ,Chododa,42.193439,46.314784,Avar
Avar ,Chondotl',42.547748999999996,46.659112,Avar
Avar ,Choroda,41.980959999999996,46.496959999999994,Avar
Avar ,Chokh,42.3206,47.0336,Avar
Avar ,Chvadab,42.13028,46.87639,Avar
Avar ,Chuni,42.34832,47.30303,Avar
Avar ,Chunib,42.20496,46.82498,Avar
Avar ,Shabdukh,42.75612,46.42139,Avar
Avar ,Shangoda,42.246859,47.000153000000005,Avar
Avar ,Shidib,42.214353,46.300745,Avar
Avar ,Shidib,42.214353,46.300745,Avar
Avar ,Shodroda (Shadroda),42.678426,46.12155,Avar
Avar ,Shotota,42.58165,46.577290000000005,Avar
Avar ,Shulatuta,42.63167,46.858059999999995,Avar
Avar ,Shushanovka,43.20156,46.98195,Avar
Avar ,Ebuta,42.59275,46.66626,Avar
Avar ,Egeda,42.409124,46.844276,Avar
Avar ,Enseruda,42.40611,46.852779999999996,Avar
Bagvalal ,Gimerso,42.561489,46.227545,Andic
Bagvalal ,Kvanada,42.561478,46.173970000000004,Andic
Bagvalal ,Tlibisho,42.56054,46.30101,Andic
Bagvalal ,Tlisi,42.562090000000005,46.27428,Andic
